Date,Close
3/1/06,4.462
4/1/06,4.663
5/1/06,4.584
6/1/06,4.767
7/1/06,4.627
8/1/06,5.116
9/1/06,5.081
10/1/06,4.625
11/1/06,5.192
12/1/06,5.226
1/1/07,4.731
2/1/07,4.992
3/1/07,5.227
4/1/07,5.081
5/1/07,4.619
6/1/07,4.81
7/1/07,4.403
8/1/07,5.073
9/1/07,3.762
10/1/07,3.47
11/1/07,3.936
12/1/07,3.679
1/1/08,2.617
2/1/08,1.82
3/1/08,2.102
4/1/08,1.557
5/1/08,1.219
6/1/08,1.972
7/1/08,1.73
8/1/08,1.5
9/1/08,1.614
10/1/08,0.725
11/1/08,0.167
12/1/08,0.025
1/1/09,0.018
2/1/09,0.147
3/1/09,0.147
4/1/09,0.198
5/1/09,0.051
6/1/09,0.152
7/1/09,0.155
8/1/09,0.15
9/1/09,0.114
10/1/09,0.038
11/1/09,0.028
12/1/09,0.081
1/1/10,0.043
2/1/10,0.041
3/1/10,0.089
4/1/10,0.155
5/1/10,0.144
6/1/10,0.147
7/1/10,0.162
8/1/10,0.147
9/1/10,0.165
10/1/10,0.15
11/1/10,0.137
12/1/10,0.18
1/1/11,0.106
2/1/11,0.144
3/1/11,0.122
4/1/11,0.023
5/1/11,0.015
6/1/11,0.025
7/1/11,0.02
8/1/11,0.16
9/1/11,0.013
10/1/11,0.01
11/1/11,0.01
12/1/11,0.02
1/1/12,0.008
2/1/12,0.061
3/1/12,0.076
4/1/12,0.056
5/1/12,0.074
6/1/12,0.033
7/1/12,0.048
8/1/12,0.066
9/1/12,0.104
10/1/12,0.053
11/1/12,0.063
12/1/12,0.124
1/1/13,0.073
2/1/13,0.03
3/1/13,0.068
4/1/13,0.061
5/1/13,0.03
6/1/13,0.023
7/1/13,0.013
8/1/13,0.023
9/1/13,0.023
10/1/13,0.089
11/1/13,0.03
12/1/13,0.025
1/1/14,0.01
2/1/14,0.03
3/1/14,0.043
4/1/14,0.023
5/1/14,0.02
6/1/14,0.035
7/1/14,0.023
8/1/14,0.02
9/1/14,0.018
10/1/14,0.013
11/1/14,0.03
12/1/14,0.013
1/1/15,0.018
2/1/15,0.008
3/1/15,0.018
4/1/15,0.041
5/1/15,0.003
6/1/15,0.008
7/1/15,0.018
8/1/15,0.025
9/1/15,0.01
10/1/15,-0.018
11/1/15,0.003
12/1/15,0.099
1/1/16,0.178
2/1/16,0.191
3/1/16,0.28
4/1/16,0.203
5/1/16,0.132
6/1/16,0.224
7/1/16,0.236
8/1/16,0.198
9/1/16,0.251
10/1/16,0.231
11/1/16,0.203
12/1/16,0.325
1/1/17,0.378
2/1/17,0.494
3/1/17,0.467
4/1/17,0.723
5/1/17,0.639
6/1/17,0.814
7/1/17,0.898
8/1/17,0.974
9/1/17,0.946
10/1/17,0.938
11/1/17,1.05
12/1/17,1.129
1/1/18,1.253
2/1/18,1.411
3/1/18,1.492
4/1/18,1.675
5/1/18,1.616
6/1/18,1.723
7/1/18,1.889
8/1/18,1.932
9/1/18,1.934
10/1/18,2.124
11/1/18,2.204
12/1/18,2.282
1/1/19,2.402
2/1/19,2.405
3/1/19,2.438
4/1/19,2.425
5/1/19,2.419
6/1/19,2.35
7/1/19,2.182
8/1/19,2.072
9/1/19,2.093
10/1/19,1.787
11/1/19,1.568
12/1/19,1.596
1/1/20,1.46
2/1/20,1.56
3/1/20,1.46
4/1/20,0.041
5/1/20,0.099
6/1/20,0.127
7/1/20,0.114
8/1/20,0.091
9/1/20,0.091
10/1/20,0.089
11/1/20,0.085
12/1/20,0.076
1/1/21,0.052
2/1/21,0.052
3/1/21,0.035
4/1/21,0.015
5/1/21,0.015
6/1/21,0.01
7/1/21,0.051
8/1/21,0.051
9/1/21,0.043
10/1/21,0.073
11/1/21,0.053
12/1/21,0.101
1/1/22,0.05
2/1/22,0.035
3/1/22,0.08
4/1/22,0.16
5/1/22,0.388
6/1/22,0.763
7/1/22,1.261
8/1/22,2.176
9/1/22,2.159
10/1/22,2.761
11/1/22,3.609
12/1/22,3.84
1/1/23,4.019
2/1/23,4.508
3/1/23,4.595
4/1/23,4.622
5/1/23,4.415
6/1/23,5.202
7/1/23,5.187
8/1/23,5.369
9/1/23,5.395
10/1/23,5.395
11/1/23,5.396
12/1/23,5.388
1/1/24,5.382
2/1/24,5.362
3/1/24,5.396
4/1/24,5.375
5/1/24,5.353
6/1/24,5.37
7/1/24,5.37
8/1/24,5.353
9/1/24,5.252
10/1/24,4.838
11/1/24,4.645
12/1/24,4.645
