last_date,first_nearby,second_nearby,third_nearby,thirt_nearby
1/20/00,G00,H00,J00,G01
2/22/00,H00,J00,K00,H01
3/21/00,J00,K00,M00,J01
4/20/00,K00,M00,N00,K01
5/22/00,M00,N00,Q00,M01
6/20/00,N00,Q00,U00,N01
7/20/00,Q00,U00,V00,Q01
8/22/00,U00,V00,X00,U01
9/20/00,V00,X00,Z00,V01
10/20/00,X00,Z00,F01,X01
11/21/00,Z00,F01,G01,Z01
12/20/00,F01,G01,H01,F02
1/22/01,G01,H01,J01,G02
2/20/01,H01,J01,K01,H02
3/20/01,J01,K01,M01,J02
4/20/01,K01,M01,N01,K02
5/22/01,M01,N01,Q01,M02
6/20/01,N01,Q01,U01,N02
7/20/01,Q01,U01,V01,Q02
8/21/01,U01,V01,X01,U02
9/20/01,V01,X01,Z01,V02
10/22/01,X01,Z01,F02,X02
11/20/01,Z01,F02,G02,Z02
12/20/01,F02,G02,H02,F03
1/22/02,G02,H02,J02,G03
2/20/02,H02,J02,K02,H03
3/20/02,J02,K02,M02,J03
4/22/02,K02,M02,N02,K03
5/21/02,M02,N02,Q02,M03
6/20/02,N02,Q02,U02,N03
7/22/02,Q02,U02,V02,Q03
8/20/02,U02,V02,X02,U03
9/20/02,V02,X02,Z02,V03
10/22/02,X02,Z02,F03,X03
11/20/02,Z02,F03,G03,Z03
12/20/02,F03,G03,H03,F04
1/21/03,G03,H03,J03,G04
2/20/03,H03,J03,K03,H04
3/20/03,J03,K03,M03,J04
4/22/03,K03,M03,N03,K04
5/20/03,M03,N03,Q03,M04
6/20/03,N03,Q03,U03,N04
7/22/03,Q03,U03,V03,Q04
8/20/03,U03,V03,X03,U04
9/22/03,V03,X03,Z03,V04
10/21/03,X03,Z03,F04,X04
11/20/03,Z03,F04,G04,Z04
12/22/03,F04,G04,H04,F05
1/20/04,G04,H04,J04,G05
2/20/04,H04,J04,K04,H05
3/22/04,J04,K04,M04,J05
4/20/04,K04,M04,N04,K05
5/20/04,M04,N04,Q04,M05
6/22/04,N04,Q04,U04,N05
7/20/04,Q04,U04,V04,Q05
8/20/04,U04,V04,X04,U05
9/21/04,V04,X04,Z04,V05
10/20/04,X04,Z04,F05,X05
11/22/04,Z04,F05,G05,Z05
